Files,Words,Vocabulary_size
722,585170,70610
723,585450,70619
724,585775,70631
725,586712,70676
726,586984,70680
727,587386,70700
728,587650,70714
729,587840,70716
730,589172,70812
731,589577,70836
732,590484,70868
733,591761,71018
734,592109,71025
735,592674,71064
736,592828,71070
737,593145,71079
738,593358,71080
739,593790,71105
740,593970,71109
741,594890,71127
742,595483,71143
743,596464,71177
744,596653,71177
745,597896,71229
746,598330,71291
747,598671,71304
748,598878,71315
749,599701,71384
750,600322,71415
751,600963,71507
752,601860,71562
753,604678,71729
754,605362,71752
755,605628,71757
756,606198,71810
757,606737,71820
758,607374,71879
759,608470,72010
760,609262,72136
761,609524,72143
762,609796,72150
763,610378,72199
764,610929,72211
765,611340,72228
766,612058,72264
767,612697,72369
768,612935,72378
769,613277,72393
770,614904,72478
771,615714,72487
772,616166,72512
773,617602,72566
774,617917,72591
775,618128,72595
776,619558,72693
777,619927,72703
778,620473,72738
779,621699,72847
780,621973,72858
781,622582,72884
782,623180,72909
783,624124,72946
784,624434,72952
785,624681,72959
786,625078,72977
787,625442,72986
788,625665,72994
789,626074,73024
790,626395,73098
791,627032,73141
792,627228,73144
793,627437,73148
794,628473,73329
795,628905,73451
796,629868,73584
797,630336,73616
798,630691,73628
799,633724,73948
800,634676,74032
801,635097,74106
802,636114,74190
803,642058,74614
804,643683,74727
805,644013,74742
806,644211,74751
807,644685,74758
808,646530,74943
809,648397,75050
810,648623,75062
811,649486,75129
812,650864,75191
813,651057,75198
814,651455,75216
815,652141,75269
816,652507,75279
817,653652,75365
818,654726,75426
819,656435,75549
820,656704,75559
821,657253,75667
822,658249,75769
823,658441,75771
824,658870,75836
825,659298,75848
826,659473,75850
827,659657,75854
828,659890,75856
829,660419,75899
830,660738,75924
831,661151,75941
832,661583,75980
833,661820,75988
834,662344,76148
835,663016,76186
836,664401,76291
837,664849,76319
838,665841,76365
839,666747,76442
840,666993,76444
841,667269,76450
842,667555,76459
843,668312,76498
844,668866,76513
845,669187,76537
846,670339,76585
847,670982,76610
848,671383,76614
849,671575,76615
850,672890,76689
851,673571,76792
852,674113,76854
853,675754,76912
854,676982,76988
855,677198,77000
856,677536,77045
857,677919,77068
858,678324,77088
859,678609,77099
860,678830,77112
861,679003,77118
862,679320,77131
863,679626,77155
864,679817,77166
865,680876,77236
866,681685,77270
867,682273,77342
868,682640,77363
869,682864,77367
870,683386,77401
871,683610,77403
872,683888,77413
873,684470,77449
874,684677,77454
875,685253,77488
876,685714,77509
877,687444,77637
878,693369,77912
879,693795,77928
880,694228,77938
881,694631,77968
882,696568,78034
883,697851,78118
884,698221,78143
885,698505,78152
886,699227,78169
887,700800,78777
888,701276,78796
889,701548,78806
890,701924,78814
891,702282,78837
892,702487,78840
893,703029,78853
894,703402,78867
895,704334,78917
896,705048,78955
897,705510,78983
898,706293,79036
899,706492,79042
900,706790,79078
901,708235,79239
902,709383,79373
903,709640,79381
904,709841,79393
905,710202,79431
906,710427,79445
907,710668,79455
908,711046,79483
909,711681,79555
910,711963,79570
911,712279,79586
912,712472,79591
913,712707,79625
914,713394,79686
915,715873,79744
916,716452,79802
917,716852,79865
918,717539,79936
919,717729,79941
920,719572,80359
921,720248,80415
922,726688,80763
923,726912,80767
924,727339,80782
925,727770,80798
926,728025,80810
927,728296,80819
928,729353,80887
929,730020,80928
930,731151,80985
931,733131,81083
932,733333,81090
933,733872,81172
934,734541,81180
935,735210,81225
936,735676,81272
937,736305,81502
938,737431,81656
939,737623,81657
940,738256,81695
941,739297,81782
942,739860,81804
943,740686,81813
944,740939,81817
945,741299,81831
946,741950,81861
947,742168,81899
948,743005,81943
949,743358,81957
950,743706,81977
951,744637,82055
952,745049,82079
953,745521,82093
954,747035,82195
955,747380,82201
956,747910,82233
957,751049,82412
958,751560,82427
959,751921,82437
960,754326,82713
961,754640,82753
962,755145,82776
963,755473,82785
964,756564,82845
965,756843,82860
966,757047,82867
967,757748,82906
968,758555,82985
969,758831,83000
970,759033,83011
971,759361,83031
972,761307,83091
973,761623,83101
974,761923,83106
975,762262,83150
976,764845,83314
977,765161,83322
978,765801,83361
979,767036,83435
980,767347,83465
981,770754,83681
982,771016,83689
983,771220,83691
984,771632,83712
985,771911,83729
986,772163,83744
987,772605,83776
988,772938,83794
989,773157,83799
990,774013,83819
991,774338,83828
992,774596,83841
993,775089,83865
994,775262,83871
995,775629,83895
996,776052,83950
997,776930,84020
998,777214,84029
999,778101,84082
1000,780252,84276
1001,780511,84282
1002,781426,84327
1003,781659,84336
1004,782758,84636
1005,783039,84644
1006,783364,84653
1007,784321,84805
1008,784604,84827
1009,784843,84832
1010,785222,84843
1011,785469,84855
1012,785973,84887
1013,786534,84912
1014,786908,84918
1015,787300,84927
1016,787500,84931
1017,788265,84967
1018,788530,84985
1019,788905,85001
1020,789102,85003
1021,789754,85020
1022,790224,85043
1023,790800,85055
1024,791421,85067
1025,791654,85070
1026,791894,85085
1027,792234,85097
1028,793874,85414
1029,794690,85443
1030,795339,85479
1031,795584,85482
1032,796854,85552
1033,797777,85613
1034,798017,85618
1035,798251,85625
1036,799051,85716
1037,799874,85731
1038,800111,85738
1039,801101,85814
1040,802540,85863
1041,802939,85877
1042,803363,85888
1043,803582,85894
1044,804668,86030
1045,805096,86054
1046,807419,86201
1047,809174,86270
1048,809845,86303
1049,810079,86306
1050,810492,86333
1051,810690,86334
1052,811287,86383
1053,812987,86478
1054,813373,86483
1055,813830,86530
1056,814092,86537
1057,814433,86554
1058,814691,86560
1059,815054,86573
1060,816628,86712
1061,816914,86716
1062,817176,86722
1063,817461,86755
1064,818553,86806
1065,818947,86826
1066,819598,86858
1067,820040,86886
1068,820378,86896
1069,820662,86908
1070,822118,86988
1071,822410,87003
1072,822686,87039
1073,822978,87057
1074,823807,87086
1075,824484,87112
1076,825146,87137
1077,825745,87157
1078,826299,87176
1079,826978,87219
1080,827893,87255
1081,828670,87314
1082,829557,87378
1083,831592,87499
1084,831978,87515
1085,832416,87523
1086,832705,87540
1087,832921,87546
1088,833195,87624
1089,833533,87638
1090,833732,87639
1091,834015,87646
1092,834424,87670
1093,834642,87675
1094,834904,87699
1095,835986,87811
1096,836991,87844
1097,837375,87862
1098,839181,87948
1099,839451,87963
1100,840897,88037
1101,841439,88046
1102,841723,88050
1103,841956,88055
1104,842728,88085
1105,843035,88089
1106,843725,88143
1107,844123,88256
1108,844604,88282
1109,845254,88307
1110,845572,88323
1111,845894,88341
1112,846417,88385
1113,846764,88394
1114,847003,88397
1115,848180,88425
1116,848696,88468
1117,848944,88478
1118,850304,88524
1119,850891,88550
1120,851186,88563
1121,854347,88634
1122,854685,88659
1123,855297,88698
1124,855498,88699
1125,860390,89012
1126,860578,89016
1127,861514,89050
1128,861958,89082
1129,862316,89104
1130,864208,89219
1131,865951,89269
1132,866412,89296
1133,867139,89376
1134,869326,89453
1135,869765,89467
1136,870751,89597
1137,870978,89602
1138,871326,89615
1139,871617,89651
1140,872603,89699
1141,872812,89703
1142,873395,89762
1143,874805,89802
1144,875337,89890
1145,876235,89921
1146,876591,89927
1147,876912,89933
1148,878164,89994
1149,878339,89994
1150,879773,90082
1151,881461,90163
1152,882121,90251
1153,882404,90260
1154,885419,90333
1155,886040,90353
1156,887399,90454
1157,887705,90462
1158,887993,90475
1159,888201,90476
1160,888512,90497
1161,890020,90598
1162,890383,90609
1163,890689,90620
1164,891766,90685
1165,893604,90722
1166,894301,90784
1167,897534,91056
1168,897986,91078
1169,898283,91091
1170,900097,91222
1171,901350,91274
1172,901763,91294
1173,902487,91320
1174,902770,91329
1175,903298,91378
1176,903735,91408
1177,904326,91422
1178,904686,91433
1179,906221,91552
1180,906701,91570
1181,907199,91618
1182,907841,91665
1183,908371,91676
1184,909092,91720
1185,909379,91728
1186,909775,91768
1187,910990,91837
1188,911173,91841
1189,912467,92005
1190,913038,92028
1191,913395,92036
1192,914142,92056
1193,915027,92104
1194,916438,92162
1195,919712,92491
1196,920167,92505
1197,920573,92513
1198,921416,92575
1199,921865,92606
1200,922243,92623
1201,922617,92654
1202,922884,92659
1203,923452,92697
1204,924507,92746
1205,924680,92750
1206,924958,92759
1207,925187,92764
1208,925384,92768
1209,926331,93042
1210,927026,93069
1211,927217,93073
1212,927640,93086
1213,928102,93097
1214,928686,93135
1215,931387,93232
1216,931579,93232
1217,931943,93328
1218,932294,93331
1219,935620,93627
1220,936760,93702
1221,939656,93802
1222,940582,93861
1223,940814,93871
1224,941108,93877
1225,941356,93888
1226,941676,93905
1227,942277,93933
1228,942788,93966
1229,943532,94021
1230,943905,94030
1231,944498,94051
1232,945065,94077
1233,945297,94082
1234,945512,94092
1235,945759,94097
1236,946103,94107
1237,946491,94113
1238,947096,94159
1239,947424,94185
1240,947820,94191
1241,950054,94972
1242,950710,95021
1243,951026,95050
1244,951495,95085
1245,951900,95092
1246,952751,95165
1247,953734,95218
1248,955140,95311
1249,956849,95401
1250,957677,95435
1251,957866,95443
1252,963547,95689
1253,964154,95699
