Files,Words,Vocabulary_size
920,692729,65424
921,694657,65560
922,695200,65582
923,695714,65594
924,699876,65751
925,701038,65816
926,702492,65897
927,702911,65904
928,703373,65941
929,704479,65968
930,704958,65996
931,706572,66098
932,707462,66193
933,708175,66224
934,710891,66330
935,712086,66388
936,712566,66412
937,712885,66420
938,713364,66432
939,724045,66699
940,724293,66712
941,724548,66725
942,725645,66858
943,725902,66870
944,726098,66875
945,726407,66899
946,726865,66935
947,727052,66939
948,727920,67008
949,728214,67019
950,729626,67114
951,730010,67143
952,730315,67146
953,733229,67291
954,733485,67298
955,734798,67344
956,735397,67367
957,736475,67384
958,737263,67410
959,737893,67445
960,738553,67490
961,738818,67495
962,739793,67560
963,740124,67576
964,740518,67636
965,740978,67654
966,741355,67843
967,741681,67852
968,741995,67889
969,742215,67893
970,742710,67927
971,745706,68058
972,745936,68071
973,746604,68108
974,746809,68116
975,748894,68219
976,749821,68276
977,750270,68296
978,750610,68311
979,751013,68330
980,751226,68333
981,751595,68440
982,751751,68442
983,752662,68489
984,752973,68510
985,753241,68526
986,753594,68548
987,753849,68569
988,754037,68576
989,755017,68650
990,755746,68690
991,756853,68731
992,759215,68835
993,759710,68853
994,760541,68886
995,760862,68900
996,762449,69061
997,762884,69100
998,763314,69118
999,763544,69126
1000,766171,69821
1001,767328,69883
1002,767713,69896
1003,767980,69899
1004,768406,69921
1005,768642,69932
1006,769102,69956
1007,769663,69996
1008,769841,70002
1009,772342,70110
1010,772743,70122
1011,773498,70200
1012,774452,70333
1013,775367,70363
1014,775872,70407
1015,776539,70428
1016,777434,70455
1017,777955,70479
1018,778224,70493
1019,779363,70536
1020,780067,70571
1021,784936,70893
1022,785412,70908
1023,787525,71063
1024,787713,71068
1025,787928,71085
1026,788209,71095
1027,788853,71122
1028,789894,71150
1029,790083,71162
1030,790352,71167
1031,796532,71513
1032,796756,71519
1033,797841,71621
1034,798735,71748
1035,799177,71787
1036,799733,71815
1037,800974,71884
1038,801593,71911
1039,801875,71933
1040,802334,71942
1041,802553,71949
1042,803373,71975
1043,803736,71983
1044,804870,72050
1045,805375,72070
1046,805600,72078
1047,805864,72086
1048,806408,72114
1049,806708,72130
1050,807230,72160
1051,808184,72183
1052,808908,72226
1053,810124,72356
1054,810468,72372
1055,810740,72381
1056,811228,72397
1057,811682,72411
1058,811912,72417
1059,812623,72429
1060,814444,72506
1061,814658,72514
1062,814854,72515
1063,816360,72549
1064,816611,72554
1065,817175,72568
1066,817975,72626
1067,818684,72666
1068,819278,72678
1069,819574,72690
1070,822584,72845
1071,822963,72865
1072,823494,72877
1073,823949,72906
1074,824221,72919
1075,824700,72942
1076,825325,72982
1077,825802,73035
1078,826254,73063
1079,828171,73275
1080,828441,73301
1081,828643,73305
1082,830140,73393
1083,831554,73523
1084,831993,73573
1085,832788,73655
1086,833027,73667
1087,833383,73695
1088,837292,74112
1089,838240,74140
1090,838425,74142
1091,838710,74156
1092,838956,74160
1093,839173,74176
1094,840631,74297
1095,840950,74325
1096,841630,74382
1097,842281,74409
1098,842623,74429
1099,843645,74454
1100,843830,74461
1101,844655,74507
1102,845308,74564
1103,846164,74606
1104,846356,74611
1105,846598,74619
1106,846939,74648
1107,847756,74682
1108,848417,74711
1109,849606,74743
1110,850817,74769
1111,851315,74781
1112,852105,74823
1113,852340,74834
1114,853073,74849
1115,853389,74911
1116,853646,74915
1117,853953,74953
1118,854394,75003
1119,854902,75061
1120,855326,75077
1121,855955,75107
1122,856743,75144
1123,857210,75156
1124,857696,75163
1125,857941,75164
1126,858695,75229
1127,859145,75246
1128,859526,75254
1129,859863,75256
1130,861291,75329
1131,862071,75360
1132,862456,75379
1133,864279,75902
1134,864893,75931
1135,865229,75956
1136,865625,75980
1137,867409,76091
1138,867724,76144
1139,868475,76180
1140,868736,76181
1141,868961,76192
1142,869376,76215
1143,870341,76269
1144,871045,76377
1145,871390,76386
1146,872254,76446
1147,872614,76465
1148,875825,76666
1149,877951,76733
1150,878367,76759
1151,882095,76919
1152,883719,77165
1153,885879,77314
1154,890194,77641
1155,890659,77667
1156,891009,77692
1157,891386,77744
1158,891659,77747
1159,892036,77800
1160,892433,77815
1161,892657,77827
1162,893167,77852
1163,893360,77855
1164,893678,77873
1165,894059,77884
1166,894637,77907
1167,894893,77931
1168,895281,77968
1169,896166,78124
1170,896761,78181
1171,898654,78297
1172,898933,78302
1173,899458,78343
1174,899982,78381
1175,900889,78463
1176,901865,78506
1177,902558,78553
1178,903348,78592
1179,903616,78599
1180,904041,78617
1181,904235,78621
1182,904435,78625
1183,904757,78653
1184,905053,78667
1185,905513,78674
1186,906581,78707
1187,906818,78720
1188,906998,78723
1189,907197,78723
1190,907595,78732
1191,908525,78768
1192,908814,78778
1193,909024,78786
1194,909686,78813
1195,914396,78970
